iter	RMSE
0	0.9896624655
1	0.9755758555
2	0.9602089081
3	0.9468858082
4	0.9340215053
5	0.920949353
6	0.9083904045
7	0.8972449569
8	0.8842037483
9	0.8712558391
10	0.8584728594
11	0.846051434
12	0.8334966987
13	0.8225033813
14	0.8108357562
15	0.8001026181
16	0.7892782882
17	0.7789173407
18	0.7682778209
19	0.7580020302
20	0.7474113308
21	0.7374612963
22	0.7284875781
23	0.7188605778
24	0.7101258397
25	0.7013802454
26	0.6926190368
27	0.6840007943
28	0.6754427893
29	0.6662944734
30	0.6579651786
31	0.6492760288
32	0.6412333124
33	0.6326529899
34	0.624503619
35	0.6172111244
36	0.6094267249
37	0.6027131389
38	0.5953308486
39	0.5884420022
40	0.5821558283
41	0.5749193904
42	0.5682317825
43	0.561963881
44	0.5555775687
45	0.5493473009
46	0.543798277
47	0.5383393363
48	0.5323178569
49	0.526497361
50	0.5209062895
51	0.5159065395
52	0.5100077097
53	0.5054163442
54	0.5004445296
55	0.4956312089
56	0.4900549049
57	0.4846653758
58	0.4799624395
59	0.4752638101
60	0.4710090369
61	0.4660766403
62	0.4614687251
63	0.4573050165
64	0.4532485241
65	0.4490245179
66	0.4450923262
67	0.441011731
68	0.4372034124
69	0.4337572968
70	0.4299134252
71	0.4264802246
72	0.4226651538
73	0.4191297793
74	0.4155563805
75	0.4121517639
76	0.4089476983
77	0.4056757821
78	0.4026711783
79	0.399394593
80	0.396057124
81	0.3933153233
82	0.3904320897
83	0.3873910493
84	0.384211379
85	0.3816734058
86	0.3794200412
87	0.3769735724
88	0.3740551862
89	0.3713764764
90	0.3687918752
91	0.366318117
92	0.3639962158
93	0.3616026111
94	0.3592454305
95	0.3568279983
96	0.3541795537
97	0.35188377
98	0.3497939475
99	0.3475112483
100	0.3452538269
101	0.3431989119
102	0.3412522794
103	0.3392893034
104	0.337504563
105	0.3357056038
106	0.3340186569
107	0.3323052143
108	0.3307502765
109	0.3289405161
110	0.3271758632
111	0.3254963948
112	0.3239138444
113	0.3224016845
114	0.3209214055
115	0.3193106751
116	0.3173897737
117	0.3159275546
118	0.3144760481
119	0.3127562941
120	0.3113477117
121	0.3101348664
122	0.3089196547
123	0.3076506465
124	0.3063179736
125	0.3046444371
126	0.3035062225
127	0.3022030756
128	0.3010509119
129	0.2999463515
130	0.2985224865
131	0.2976023381
132	0.2964818804
133	0.2954899882
134	0.2941937426
135	0.2929621691
136	0.291960537
137	0.2907444815
138	0.2894439534
139	0.2886810928
140	0.2878263776
141	0.2868893869
142	0.285946112
143	0.2851326877
144	0.2841476023
145	0.2832198226
146	0.2823513629
147	0.2815602276
148	0.2806033247
149	0.279684995
150	0.2786988368
151	0.2779075693
152	0.2770196347
153	0.2762229263
154	0.2755113551
155	0.2746903416
156	0.2738407779
157	0.2730116194
158	0.272217202
159	0.271593637
160	0.2709324344
161	0.2702536045
162	0.2696590143
163	0.2692200607
164	0.268303214
165	0.2676236068
166	0.2671456167
167	0.2661954571
168	0.2655905472
169	0.2650138656
170	0.2642583472
171	0.2636013137
172	0.2628841461
173	0.2623319967
174	0.2617286309
175	0.2612705578
176	0.2604996727
177	0.2600437752
178	0.2593656822
179	0.2587470093
180	0.2581595076
181	0.2575745363
182	0.2569220644
183	0.2561627978
184	0.2556130018
185	0.2547844167
186	0.2543196495
187	0.2537266864
188	0.2532496942
189	0.2528648376
190	0.2523379735
191	0.2516788811
192	0.2511866306
193	0.2507499459
194	0.2502458501
195	0.2496701268
196	0.2491371191
197	0.2486334355
198	0.2480901901
199	0.247646604
200	0.2471192243
201	0.2466076898
202	0.2460885639
203	0.2456958029
204	0.245122286
205	0.2446256059
206	0.2442284139
207	0.2436496561
208	0.2431365097
209	0.2426130671
210	0.2421506909
211	0.2417980477
212	0.2413352435
213	0.2409442863
214	0.2405452046
215	0.2401134625
216	0.2398050795
217	0.2392817122
218	0.2387717065
219	0.238325027
220	0.2379105794
221	0.237463116
222	0.2370800743
223	0.2367458715
224	0.236248068
225	0.2360078795
226	0.2355972592
227	0.2352470929
228	0.2347233472
229	0.2343266831
230	0.2339022455
231	0.2333964703
232	0.2330515583
233	0.2327563713
234	0.2324497074
235	0.2321285259
236	0.2318818489
237	0.2315749829
238	0.2310831905
239	0.2306882123
240	0.2303070041
241	0.2299838426
242	0.2295567115
243	0.2292856341
244	0.2288320861
245	0.2285824179
246	0.2282036753
247	0.2279285671
248	0.2274689847
249	0.227186602
250	0.2269135132
251	0.2266727227
252	0.2264222202
253	0.2261443131
254	0.2258100972
255	0.2254655153
256	0.2252553289
257	0.2249595292
258	0.2246167813
259	0.224303222
260	0.2238966018
261	0.2234925947
262	0.223150834
263	0.2231125073
264	0.2228375557
265	0.2225636626
266	0.2223527614
267	0.2218297785
268	0.2215052294
269	0.2211751717
270	0.2208706676
271	0.2205996537
272	0.2202915317
273	0.2200008011
274	0.2197222327
275	0.2194505865
276	0.2192322428
277	0.2188399943
278	0.2183395453
279	0.2180548598
280	0.217738161
281	0.2176584875
282	0.2172863908
283	0.2168895929
284	0.2165877823
285	0.2163501998
286	0.2161399285
287	0.2157559057
288	0.215595434
289	0.2152555217
290	0.2149937217
291	0.2146091685
292	0.2143056883
293	0.2137791865
294	0.2135812679
295	0.213279005
296	0.2130132573
297	0.212789695
298	0.2126139225
299	0.2122748775
300	0.2119078664
301	0.2114268579
302	0.2112343746
303	0.2108860769
304	0.2105465723
305	0.2102401502
306	0.2099619565
307	0.2096376571
308	0.2092351865
309	0.2086989412
310	0.2084754765
311	0.2080954009
312	0.2079236384
313	0.2074913776
314	0.2071961963
315	0.2068779293
316	0.206575585
317	0.206353459
318	0.2061151004
319	0.2057285399
320	0.2054172322
321	0.2053596991
322	0.2048395344
323	0.2045458079
324	0.2043239987
325	0.2040404305
326	0.2037366827
327	0.2034799
328	0.2031502239
329	0.2028246973
330	0.2026112359
331	0.2023410085
332	0.2020874659
333	0.2018936436
334	0.2015612236
335	0.2012451582
336	0.2009515326
337	0.2006178922
338	0.2001837227
339	0.1998818958
340	0.1996638711
341	0.1994469941
342	0.1992367339
343	0.1987919905
344	0.1985616221
345	0.1982649361
346	0.1979536291
347	0.1974856166
348	0.1972466809
349	0.1969734898
350	0.1969254746
351	0.1968812307
352	0.1965690249
353	0.196308979
354	0.1960055517
355	0.1957152575
356	0.1954176575
357	0.1951209344
358	0.1948516308
359	0.1946222443
360	0.1942145607
361	0.1939565081
362	0.1937188465
363	0.19341233
364	0.1932308268
365	0.1927588535
366	0.192516592
367	0.1922216099
368	0.1919725209
369	0.1916686267
370	0.1914061862
371	0.191121613
372	0.1909699047
373	0.1909247079
374	0.1904985356
375	0.1903426702
376	0.1900376068
377	0.1897603716
378	0.1893923503
379	0.1891054828
380	0.188876854
381	0.1886865401
382	0.1884966156
383	0.1880649835
384	0.1879044285
385	0.1877092776
386	0.1874440584
387	0.1871355814
388	0.1870749484
389	0.1867655282
390	0.1864558265
391	0.1861658145
392	0.1858929037
393	0.1858445719
394	0.1856370954
395	0.1853871417
396	0.1851174894
397	0.1850673614
398	0.184821852
399	0.1847589226
400	0.1845186927
401	0.1843978955
402	0.1841482524
403	0.1839428999
404	0.1836052633
405	0.1834346915
406	0.1831103421
407	0.1828905653
408	0.1826632453
409	0.1824474544
410	0.1821294922
411	0.1819563823
412	0.1817564552
413	0.1815361078
414	0.1813974747
415	0.1813300957
416	0.1810604069
417	0.1807412802
418	0.1803684766
419	0.1801433569
420	0.1797484604
421	0.1796663408
422	0.1795945338
423	0.1795321548
424	0.1791200206
425	0.1787877365
426	0.1785324431
427	0.1782376996
428	0.1779504626
429	0.1777562852
430	0.1774267473
431	0.1772007627
432	0.1771276973
433	0.1767977541
434	0.1767598506
435	0.1764611406
436	0.1762239599
437	0.1761236129
438	0.1760678389
439	0.175833848
440	0.1757922917
441	0.1754163356
442	0.1753481856
443	0.1751646881
444	0.174925631
445	0.174747218
446	0.1743852558
447	0.1743485783
448	0.1739858138
449	0.173753375
450	0.173552579
451	0.1734330392
452	0.1731385273
453	0.1729545484
454	0.1727525275
455	0.172467983
456	0.1721252923
457	0.1718217632
458	0.1716748606
459	0.1715338312
460	0.1713640538
461	0.1712990282
462	0.1709707963
463	0.1706446234
464	0.1704739049
465	0.1702946663
466	0.170049868
467	0.1698187473
468	0.169468971
469	0.1691453046
470	0.1690724834
471	0.1687739111
472	0.1686913988
473	0.1685434719
474	0.1682080526
475	0.1680470497
476	0.1677557075
477	0.1674735779
478	0.1673745556
479	0.1672277803
480	0.1670000123
481	0.1667621347
482	0.166540876
483	0.1663697092
484	0.166095621
485	0.1658281038
486	0.1657627211
487	0.1657187436
488	0.1655695524
489	0.1655294358
490	0.1652888641
491	0.1649379303
492	0.164900093
493	0.1645834949
494	0.1644115551
495	0.1641527582
496	0.1640168212
497	0.1638371035
498	0.1637252756
499	0.163261971
500	0.1632081589
501	0.1630311648
502	0.1627812681
503	0.162658086
504	0.1622978158
505	0.1621197359
506	0.1619819974
507	0.1619208408
508	0.1617298287
509	0.1616009874
510	0.1613124502
511	0.1611216284
512	0.1610246987
513	0.1607867527
514	0.1607238598
515	0.1606936697
516	0.1604628169
517	0.1602376397
518	0.1599984807
519	0.1599447802
520	0.1596718775
521	0.1593508566
522	0.1590266929
523	0.1589659207
524	0.1589353289
525	0.1586207523
526	0.158489247
527	0.1583259542
528	0.1579273626
529	0.1578938624
530	0.1577130341
531	0.157531166
532	0.1575001079
533	0.1573075647
534	0.1572740989
535	0.1571035704
536	0.1570438753
537	0.1569397975
538	0.1568039229
539	0.1566255765
540	0.1565706291
541	0.1563585418
542	0.1563247448
543	0.156196143
544	0.1561091365
545	0.1559975993
546	0.1557975066
547	0.1555045616
548	0.1554448771
549	0.155055991
550	0.1547238161
551	0.1545274363
552	0.1544221097
553	0.1542569905
554	0.1540904613
555	0.1540358557
556	0.1537263007
557	0.1535639517
558	0.1533978443
559	0.1531538285
560	0.1529810006
561	0.1526530792
562	0.1523827257
563	0.1522194688
564	0.1521845057
565	0.1521450719
566	0.1520131619
567	0.151970103
568	0.151935486
569	0.1516605556
570	0.151381029
571	0.1512359924
572	0.1508479988
573	0.1507283481
574	0.1506973619
575	0.1504280943
576	0.1502451536
577	0.1501937306
578	0.1499838218
579	0.1498856256
580	0.149626893
581	0.1493501515
582	0.149254406
583	0.1490796827
584	0.1490291941
585	0.1488049697
586	0.1486460322
587	0.1483556352
588	0.1481998538
589	0.1480745411
590	0.148037717
591	0.1478608034
592	0.1477789596
593	0.1476458403
594	0.1476140452
595	0.1475776969
596	0.1475283161
597	0.1473665011
598	0.1470693835
599	0.1470050298
600	0.1467261822
601	0.1465563913
602	0.1463893647
603	0.1462940983
604	0.1461474153
605	0.1461181713
606	0.1460695823
607	0.1458936523
608	0.1456234988
609	0.1454229182
610	0.1453374542
611	0.1452772196
612	0.1451101906
613	0.1449323046
614	0.1448717408
615	0.1447788529
616	0.1445528747
617	0.1444405704
618	0.1444079351
619	0.1443263119
620	0.1442972887
621	0.1440946956
622	0.1438573747
623	0.1438219483
624	0.143782351
625	0.1437526083
626	0.1436401766
627	0.1435295627
628	0.1435005086
629	0.1432102183
630	0.1431508818
631	0.1430302865
632	0.1427243008
633	0.1426965496
634	0.1426457422
635	0.1425920669
636	0.1424973138
637	0.1423737041
638	0.1421453833
639	0.1420033412
640	0.1417669378
641	0.1417388868
642	0.1415500104
643	0.1415179662
644	0.1414908621
645	0.1414191766
646	0.1413052035
647	0.1412732621
648	0.1412475781
649	0.1411456053
650	0.1410281526
651	0.1407923067
652	0.1406978326
653	0.140665774
654	0.1404076967
655	0.1403595133
656	0.1403279878
657	0.1401935012
658	0.1399459447
659	0.1397470427
660	0.1397203495
661	0.1395194622
662	0.1393776017
663	0.1391806422
664	0.1388977139
665	0.138630426
666	0.1384734194
667	0.1383574681
668	0.1382178931
669	0.1380379919
670	0.1379773434
671	0.1379490624
672	0.1379190862
673	0.1378886952
674	0.1376686116
675	0.1375592813
676	0.1375255946
677	0.1373648431
678	0.1372305611
679	0.1371690762
680	0.1369729316
681	0.1367984959
682	0.136675274
683	0.1366484022
684	0.136556454
685	0.1365279764
686	0.1363320047
687	0.1361991208
688	0.1359826044
689	0.1358987986
690	0.1357695077
691	0.1356497209
692	0.1353751891
693	0.1353530938
694	0.1352241634
695	0.1350587514
696	0.1350151219
697	0.1348044081
698	0.1344998079
699	0.1344724891
700	0.1344502787
701	0.1342263173
702	0.1341770369
703	0.1341493595
704	0.1337862487
705	0.1337644258
706	0.1337025177
707	0.1336782713
708	0.1336235895
709	0.1333731504
710	0.1331095396
711	0.1330589486
712	0.1329013263
713	0.132630175
714	0.1326069434
715	0.1325419769
716	0.1325180418
717	0.1324919984
