iter	Passed	Remaining
361	1259	16134
362	1263	16134
363	1267	16138
364	1270	16135
365	1274	16130
366	1277	16126
367	1280	16121
368	1284	16114
369	1287	16107
370	1290	16102
371	1293	16097
372	1297	16092
373	1300	16088
374	1304	16086
375	1307	16080
376	1310	16073
377	1314	16067
378	1317	16065
379	1320	16060
380	1324	16055
381	1327	16049
382	1331	16047
383	1334	16043
384	1338	16041
385	1341	16040
386	1345	16035
387	1348	16034
388	1352	16027
389	1356	16029
390	1359	16021
391	1363	16030
392	1367	16029
393	1371	16031
394	1374	16026
395	1377	16016
396	1381	16014
397	1384	16008
398	1387	16005
399	1391	15998
400	1394	15998
401	1398	15990
402	1401	15992
403	1405	15984
404	1408	15977
405	1411	15972
406	1414	15967
407	1418	15969
408	1422	15964
409	1425	15959
410	1428	15952
411	1432	15951
412	1435	15945
413	1439	15947
414	1442	15940
415	1446	15937
416	1449	15934
417	1453	15931
418	1456	15929
419	1460	15927
420	1463	15919
421	1467	15916
422	1470	15908
423	1473	15906
424	1477	15901
425	1480	15895
426	1483	15891
427	1487	15887
428	1491	15886
429	1494	15881
430	1497	15876
431	1500	15868
432	1504	15867
433	1507	15861
434	1511	15856
435	1514	15851
436	1517	15846
437	1521	15843
438	1524	15837
439	1527	15832
440	1531	15828
441	1534	15822
442	1537	15819
443	1540	15812
444	1544	15809
445	1548	15806
446	1551	15801
447	1554	15797
448	1558	15792
449	1561	15784
450	1564	15780
451	1568	15777
452	1571	15771
453	1574	15765
454	1578	15763
455	1581	15758
456	1584	15752
457	1587	15745
458	1591	15740
459	1594	15734
460	1597	15731
461	1600	15723
462	1604	15718
463	1607	15715
464	1610	15710
465	1614	15707
466	1618	15713
467	1622	15712
468	1626	15714
469	1630	15716
470	1634	15714
471	1638	15717
472	1641	15713
473	1646	15717
474	1649	15717
475	1653	15716
476	1656	15711
477	1660	15706
478	1663	15703
479	1667	15702
480	1671	15703
481	1674	15700
482	1678	15701
483	1682	15702
484	1686	15696
485	1689	15695
486	1693	15692
487	1697	15697
488	1701	15693
489	1704	15692
490	1714	15741
491	1717	15738
492	1720	15732
493	1723	15725
494	1727	15719
495	1730	15713
496	1733	15707
497	1737	15703
498	1740	15701
499	1743	15695
500	1747	15690
501	1750	15686
502	1754	15682
503	1757	15681
504	1761	15676
505	1764	15670
506	1767	15667
507	1771	15662
508	1774	15657
509	1777	15652
510	1781	15648
511	1784	15639
512	1787	15635
513	1790	15629
514	1794	15625
515	1797	15619
516	1800	15615
517	1803	15608
518	1807	15606
519	1810	15601
520	1814	15597
521	1817	15593
522	1821	15589
523	1824	15588
524	1828	15583
525	1832	15584
526	1835	15578
527	1839	15579
528	1842	15572
529	1846	15570
530	1849	15562
531	1852	15559
532	1855	15552
533	1859	15552
534	1862	15542
535	1865	15540
536	1868	15532
537	1872	15529
538	1875	15522
539	1878	15519
540	1881	15509
541	1885	15506
542	1888	15498
543	1904	15599
544	1908	15598
545	1911	15596
546	1915	15590
547	1918	15587
548	1921	15580
549	1925	15580
550	1928	15574
551	1932	15574
552	1935	15566
553	1939	15562
554	1942	15555
555	1945	15553
556	1949	15547
557	1952	15542
558	1955	15533
559	1958	15530
560	1961	15522
561	1965	15521
562	1968	15513
563	1971	15510
564	1975	15502
565	1978	15500
566	1981	15494
567	1985	15492
568	1988	15483
569	1991	15479
570	1994	15473
571	1998	15470
572	2001	15462
573	2005	15462
574	2008	15456
575	2011	15451
576	2014	15445
577	2018	15441
578	2021	15436
579	2025	15433
580	2028	15425
581	2031	15420
582	2034	15413
583	2037	15409
584	2041	15404
585	2044	15402
586	2047	15396
587	2051	15394
588	2054	15386
589	2058	15382
590	2061	15376
591	2064	15374
592	2068	15369
593	2071	15367
594	2074	15359
595	2078	15358
596	2081	15352
597	2085	15350
598	2088	15346
599	2092	15342
600	2095	15338
601	2099	15338
602	2102	15332
603	2106	15330
604	2110	15330
605	2113	15325
606	2117	15324
607	2120	15321
608	2125	15323
609	2128	15321
610	2132	15320
611	2136	15316
612	2140	15315
613	2144	15315
614	2147	15310
615	2151	15309
616	2154	15304
617	2171	15397
618	2174	15392
619	2178	15389
620	2181	15381
621	2185	15380
622	2188	15374
623	2191	15370
624	2194	15364
625	2198	15361
626	2201	15350
627	2204	15345
628	2207	15339
629	2210	15336
630	2214	15330
631	2217	15326
632	2220	15320
633	2224	15316
634	2227	15309
635	2231	15309
636	2234	15302
637	2238	15302
638	2241	15295
639	2244	15293
640	2247	15286
641	2251	15281
642	2254	15278
643	2257	15272
644	2261	15269
645	2264	15263
646	2267	15258
647	2271	15253
648	2275	15252
649	2278	15245
650	2281	15242
651	2284	15237
652	2288	15235
653	2292	15233
654	2295	15230
655	2299	15227
656	2302	15222
657	2305	15216
658	2308	15207
659	2312	15203
660	2315	15198
661	2318	15194
662	2322	15189
663	2325	15183
664	2328	15179
665	2332	15176
666	2335	15170
667	2338	15166
668	2342	15163
669	2345	15156
670	2348	15154
671	2352	15150
672	2355	15145
673	2359	15141
674	2362	15135
675	2365	15131
676	2368	15126
677	2372	15123
678	2375	15117
679	2379	15115
680	2382	15107
681	2385	15104
682	2389	15100
683	2392	15099
684	2396	15094
685	2399	15090
686	2402	15085
687	2406	15083
688	2409	15076
689	2412	15072
690	2416	15067
691	2419	15064
692	2422	15058
693	2425	15051
694	2429	15046
695	2432	15042
696	2435	15037
697	2439	15033
698	2442	15028
699	2445	15024
700	2448	15018
701	2452	15015
702	2455	15010
703	2459	15005
704	2462	15001
705	2466	14998
706	2469	14992
707	2472	14988
708	2475	14983
709	2479	14979
710	2482	14974
711	2485	14971
712	2489	14968
713	2493	14965
714	2496	14961
715	2500	14959
716	2503	14953
717	2506	14947
